wave,flux,fluxerr
350.000,1.58778e-13,6.09326e-15
350.012,1.54369e-13,6.00254e-15
350.023,1.50481e-13,5.91613e-15
350.035,1.51202e-13,5.96450e-15
350.047,1.59913e-13,6.02984e-15
350.058,1.55123e-13,5.92166e-15
350.070,1.50867e-13,5.83202e-15
350.082,1.51790e-13,5.82922e-15
350.093,1.41240e-13,5.68933e-15
350.105,1.51359e-13,5.86573e-15
350.117,1.56450e-13,5.97062e-15
350.128,1.58317e-13,6.02450e-15
350.140,1.60961e-13,6.07033e-15
350.152,1.66457e-13,6.11707e-15
350.163,1.67438e-13,6.11398e-15
350.175,1.67765e-13,6.10849e-15
350.187,1.68410e-13,6.11436e-15
350.199,1.59680e-13,5.96103e-15
350.210,1.48853e-13,5.81441e-15
350.222,1.45411e-13,5.75445e-15
350.234,1.47484e-13,5.76352e-15
350.245,1.53148e-13,5.83107e-15
350.257,1.56007e-13,5.85125e-15
350.269,1.55457e-13,5.86303e-15
350.280,1.57475e-13,5.90218e-15
350.292,1.64123e-13,5.98132e-15
350.304,1.69495e-13,5.99623e-15
350.315,1.61888e-13,5.96876e-15
350.327,1.63374e-13,6.00422e-15
350.339,1.67651e-13,6.05204e-15
350.350,1.60341e-13,5.99221e-15
350.362,1.63997e-13,6.05875e-15
350.374,1.61886e-13,6.01765e-15
350.385,1.59947e-13,5.97424e-15
350.397,1.59837e-13,5.95739e-15
350.409,1.60257e-13,5.93832e-15
350.421,1.64568e-13,5.97441e-15
350.432,1.64768e-13,5.94845e-15
350.444,1.62668e-13,5.89272e-15
350.456,1.60720e-13,5.85644e-15
350.467,1.53349e-13,5.73104e-15
350.479,1.44008e-13,5.63758e-15
350.491,1.40999e-13,5.61207e-15
350.502,1.47307e-13,5.67566e-15
350.514,1.64507e-13,5.89075e-15
350.526,1.59386e-13,5.84363e-15
350.537,1.60074e-13,5.87697e-15
350.549,1.63359e-13,5.94267e-15
350.561,1.65157e-13,5.97625e-15
350.573,1.61744e-13,5.92551e-15
350.584,1.62348e-13,5.93717e-15
350.596,1.62961e-13,5.93937e-15
350.608,1.62381e-13,5.91358e-15
350.619,1.50668e-13,5.76351e-15
350.631,1.47922e-13,5.66726e-15
350.643,1.48794e-13,5.65068e-15
350.654,1.51418e-13,5.68152e-15
350.666,1.54210e-13,5.74400e-15
350.678,1.60565e-13,5.78897e-15
350.689,1.64367e-13,5.83247e-15
350.701,1.66539e-13,5.87562e-15
350.713,1.67049e-13,5.90995e-15
350.725,1.66441e-13,5.84183e-15
350.736,1.62486e-13,5.80019e-15
350.748,1.59433e-13,5.79254e-15
350.760,1.57497e-13,5.79504e-15
350.771,1.57632e-13,5.78613e-15
350.783,1.58904e-13,5.78312e-15
350.795,1.62583e-13,5.85707e-15
350.806,1.64331e-13,5.86529e-15
350.818,1.63627e-13,5.79937e-15
350.830,1.60833e-13,5.73349e-15
350.842,1.63747e-13,5.77391e-15
350.853,1.65900e-13,5.78115e-15
350.865,1.65865e-13,5.75820e-15
350.877,1.61112e-13,5.69049e-15
350.888,1.65296e-13,5.76238e-15
350.900,1.67299e-13,5.74186e-15
350.912,1.66471e-13,5.73543e-15
350.924,1.63865e-13,5.74897e-15
350.935,1.66397e-13,5.77451e-15
350.947,1.62855e-13,5.70364e-15
350.959,1.60916e-13,5.70066e-15
350.970,1.60748e-13,5.70972e-15
350.982,1.63260e-13,5.70145e-15
350.994,1.62192e-13,5.69323e-15
351.005,1.52977e-13,5.58672e-15
351.017,1.43299e-13,5.47095e-15
351.029,1.35571e-13,5.36975e-15
351.041,1.38385e-13,5.35678e-15
351.052,1.41602e-13,5.41451e-15
351.064,1.44678e-13,5.40805e-15
351.076,1.46321e-13,5.39562e-15
351.087,1.45447e-13,5.40066e-15
351.099,1.51437e-13,5.47176e-15
351.111,1.58480e-13,5.55142e-15
351.123,1.63421e-13,5.61070e-15
351.134,1.64618e-13,5.63116e-15
351.146,1.55197e-13,5.53859e-15
351.158,1.57192e-13,5.56720e-15
351.169,1.57842e-13,5.57000e-15
351.181,1.56805e-13,5.54895e-15
351.193,1.53900e-13,5.50438e-15
351.205,1.57287e-13,5.58606e-15
351.216,1.64991e-13,5.69458e-15
351.228,1.65760e-13,5.68805e-15
351.240,1.61574e-13,5.61175e-15
351.251,1.52909e-13,5.50575e-15
351.263,1.60114e-13,5.60461e-15
351.275,1.64167e-13,5.65512e-15
351.287,1.65094e-13,5.65913e-15
351.298,1.62611e-13,5.61209e-15
351.310,1.57685e-13,5.50820e-15
351.322,1.55956e-13,5.43982e-15
351.333,1.54446e-13,5.41243e-15
351.345,1.52760e-13,5.39715e-15
351.357,1.50260e-13,5.36511e-15
351.369,1.38590e-13,5.17511e-15
351.380,1.34469e-13,5.12084e-15
351.392,1.38785e-13,5.18198e-15
351.404,1.49859e-13,5.33457e-15
351.415,1.55131e-13,5.42765e-15
351.427,1.60896e-13,5.48895e-15
351.439,1.61891e-13,5.53593e-15
351.451,1.61690e-13,5.56292e-15
351.462,1.62285e-13,5.55583e-15
351.474,1.54333e-13,5.43880e-15
351.486,1.46860e-13,5.32455e-15
351.498,1.38653e-13,5.19271e-15
351.509,1.32764e-13,5.08566e-15
351.521,1.43233e-13,5.18917e-15
351.533,1.59049e-13,5.38778e-15
351.544,1.64431e-13,5.48824e-15
351.556,1.66399e-13,5.51963e-15
351.568,1.66731e-13,5.47298e-15
351.580,1.51430e-13,5.30495e-15
351.591,1.59723e-13,5.39612e-15
351.603,1.64068e-13,5.46286e-15
351.615,1.66034e-13,5.49918e-15
351.627,1.69435e-13,5.48554e-15
351.638,1.66437e-13,5.41367e-15
351.650,1.64165e-13,5.42474e-15
351.662,1.62378e-13,5.43142e-15
351.673,1.61228e-13,5.41737e-15
351.685,1.61352e-13,5.46543e-15
351.697,1.63014e-13,5.49197e-15
351.709,1.60700e-13,5.43605e-15
351.720,1.57746e-13,5.36925e-15
351.732,1.58340e-13,5.38297e-15
351.744,1.64672e-13,5.43913e-15
351.756,1.63962e-13,5.44421e-15
351.767,1.62851e-13,5.40265e-15
351.779,1.62316e-13,5.32946e-15
351.791,1.64235e-13,5.34069e-15
351.803,1.60686e-13,5.32341e-15
351.814,1.58372e-13,5.30674e-15
351.826,1.56471e-13,5.27689e-15
351.838,1.54625e-13,5.21881e-15
351.849,1.56496e-13,5.21519e-15
351.861,1.60714e-13,5.28303e-15
351.873,1.62071e-13,5.31235e-15
351.885,1.62155e-13,5.31789e-15
351.896,1.68237e-13,5.37485e-15
351.908,1.64112e-13,5.38084e-15
351.920,1.64653e-13,5.38781e-15
351.932,1.65531e-13,5.40107e-15
351.943,1.65206e-13,5.42156e-15
351.955,1.56320e-13,5.32446e-15
351.967,1.47926e-13,5.18140e-15
351.979,1.51765e-13,5.22316e-15
