wave,flux,fluxerr
350.000,5.45997e-14,1.24449e-14
350.012,4.52337e-14,1.22122e-14
350.023,3.04021e-14,1.18656e-14
350.035,3.37546e-14,1.20100e-14
350.047,3.18934e-14,1.22023e-14
350.058,4.06841e-14,1.20444e-14
350.070,4.27516e-14,1.19295e-14
350.082,3.46997e-14,1.19507e-14
350.093,4.78983e-14,1.22062e-14
350.105,3.76537e-14,1.22429e-14
350.117,4.22838e-14,1.23121e-14
350.128,4.88777e-14,1.23036e-14
350.140,3.51989e-14,1.19534e-14
350.152,4.24715e-14,1.21504e-14
350.163,4.86085e-14,1.21148e-14
350.175,5.07694e-14,1.20237e-14
350.187,4.78766e-14,1.19119e-14
350.199,4.06306e-14,1.18940e-14
350.210,3.27498e-14,1.18107e-14
350.222,2.94460e-14,1.16974e-14
350.234,2.75818e-14,1.16047e-14
350.245,2.30352e-14,1.16267e-14
350.257,3.99123e-14,1.16174e-14
350.269,4.18104e-14,1.18129e-14
350.280,4.60351e-14,1.19415e-14
350.292,5.38342e-14,1.19549e-14
350.304,3.96093e-14,1.19857e-14
350.315,4.44467e-14,1.21218e-14
350.327,4.91438e-14,1.21419e-14
350.339,4.98929e-14,1.20773e-14
350.350,3.88042e-14,1.19102e-14
350.362,5.18218e-14,1.20672e-14
350.374,5.29361e-14,1.20892e-14
350.385,5.30978e-14,1.20416e-14
350.397,5.35968e-14,1.19354e-14
350.409,5.37270e-14,1.18282e-14
350.421,5.56719e-14,1.19019e-14
350.432,4.52498e-14,1.17706e-14
350.444,3.78692e-14,1.16797e-14
350.456,5.26926e-14,1.19295e-14
350.467,4.19458e-14,1.17405e-14
350.479,3.29099e-14,1.16363e-14
350.491,3.06761e-14,1.14996e-14
350.502,3.49966e-14,1.13701e-14
350.514,3.62790e-14,1.16940e-14
350.526,4.49772e-14,1.16457e-14
350.537,5.11984e-14,1.15979e-14
350.549,5.30692e-14,1.15765e-14
350.561,4.63451e-14,1.16203e-14
350.573,4.35294e-14,1.12186e-14
350.584,4.28953e-14,1.14908e-14
350.596,4.48280e-14,1.15452e-14
350.608,4.65501e-14,1.13679e-14
350.619,2.82294e-14,1.12608e-14
350.631,3.34992e-14,1.11498e-14
350.643,2.99633e-14,1.11264e-14
350.654,3.16118e-14,1.12014e-14
350.666,5.02011e-14,1.14287e-14
350.678,5.66136e-14,1.13146e-14
350.689,5.52424e-14,1.13267e-14
350.701,5.00458e-14,1.13396e-14
350.713,4.29925e-14,1.13207e-14
350.725,4.09697e-14,1.11123e-14
350.736,2.95393e-14,1.11636e-14
350.748,2.99645e-14,1.09974e-14
350.760,3.55447e-14,1.08472e-14
350.771,4.47365e-14,1.08371e-14
350.783,4.93984e-14,1.09592e-14
350.795,4.40620e-14,1.08847e-14
350.806,4.61380e-14,1.09528e-14
350.818,5.00072e-14,1.10833e-14
350.830,3.57497e-14,1.10220e-14
350.842,3.88246e-14,1.11150e-14
350.853,4.41757e-14,1.11141e-14
350.865,4.78992e-14,1.10193e-14
350.877,4.81107e-14,1.08196e-14
350.888,4.88367e-14,1.09888e-14
350.900,4.11720e-14,1.10179e-14
350.912,4.26238e-14,1.09949e-14
350.924,5.01199e-14,1.10138e-14
350.935,6.08324e-14,1.13344e-14
350.947,4.08653e-14,1.10976e-14
350.959,3.69181e-14,1.07679e-14
350.970,3.31247e-14,1.05885e-14
350.982,2.65132e-14,1.06255e-14
350.994,2.36370e-14,1.04507e-14
351.005,3.13271e-14,1.03404e-14
351.017,3.06977e-14,1.03784e-14
351.029,2.73818e-14,1.04235e-14
351.041,2.83161e-14,1.02595e-14
351.052,3.87819e-14,1.05231e-14
351.064,4.36884e-14,1.05573e-14
351.076,4.52780e-14,1.06176e-14
351.087,4.35657e-14,1.07115e-14
351.099,3.77746e-14,1.05289e-14
351.111,4.69636e-14,1.09091e-14
351.123,5.14302e-14,1.10716e-14
351.134,5.22139e-14,1.10777e-14
351.146,4.81910e-14,1.08963e-14
351.158,4.91723e-14,1.06477e-14
351.169,4.53682e-14,1.07028e-14
351.181,4.21650e-14,1.07152e-14
351.193,4.17860e-14,1.06941e-14
351.205,5.64482e-14,1.08711e-14
351.216,5.30744e-14,1.08085e-14
351.228,4.20135e-14,1.05744e-14
351.240,3.60703e-14,1.04076e-14
351.251,4.49730e-14,1.04815e-14
351.263,3.41896e-14,1.02878e-14
351.275,3.51936e-14,1.05112e-14
351.287,3.49769e-14,1.05124e-14
351.298,3.56103e-14,1.03813e-14
351.310,4.71399e-14,1.04468e-14
351.322,4.69050e-14,1.03161e-14
351.333,3.78017e-14,1.03890e-14
351.345,3.03486e-14,1.04106e-14
351.357,2.86687e-14,1.02825e-14
351.369,2.53265e-14,9.80491e-15
351.380,2.29698e-14,9.68874e-15
351.392,3.01806e-14,9.89673e-15
351.404,4.11943e-14,1.01716e-14
351.415,4.68389e-14,1.00178e-14
351.427,5.14426e-14,1.01907e-14
351.439,4.82416e-14,1.02294e-14
351.451,4.61973e-14,1.02234e-14
351.462,4.66599e-14,1.01933e-14
351.474,4.12283e-14,1.02689e-14
351.486,3.05944e-14,9.95253e-15
351.498,2.66586e-14,9.79155e-15
