CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
10_LAC,1908095850396090880,  4.8254528,  4.7139649,  5.0169492, -0.3029842,NOT_AVAILABLE,      0,true, 50, 41,10lac_stis_007.fits.csv,DMS,  0,   1.02,   0.02,   0.02,   2.65,   2.15,   2.59,   1.78
16_CYG_B,2135550755683407232,  6.0734186,  6.4007215,  5.5745616,  0.8261600,NOT_AVAILABLE,      0,true, 29, 27,16cygb_stis_003.fits.csv,OK,  0,   1.01,   0.02,   0.02,   2.01,   2.03,   2.49,   1.63
18_SCO,4345775217221821312,  5.3276510,  5.6549315,  4.8378544,  0.8170772,NOT_AVAILABLE,      0,true, 19, 17,18sco_stis_004.fits.csv,OK,  0,   1.01,   0.02,   0.02,   1.32,   1.32,   1.58,   1.12
1732526,1651137131123978112, 12.5153427, 12.5714874, 12.4144430,  0.1570444,NOT_AVAILABLE,      0,true, 36, 37,1732526_stisnic_007.fits.csv,OK,  1,   1.00,   0.03,   0.04,   2.08,   2.14,   2.62,   1.74
17403462,1633143932573832448, 12.4608011, 12.5497608, 12.2901878,  0.2595730,NOT_AVAILABLE,      0,true, 39, 39,1740346_stisnic_005.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.91,   1.91,   2.08,   1.77
1743045,1634280312200704768, 13.4711504, 13.6078463, 13.2368307,  0.3710155,VARIABLE,      0,true,105,105,1743045_stisnic_007.fits.csv,VAR,  0,   1.01,   0.03,   0.03,   1.76,   1.75,   1.70,   1.79
2MASSJ17571324+6703409,1633585107317144960, 11.7669077, 11.8900509, 11.5464439,  0.3436069,NOT_AVAILABLE,      0,true, 35, 34,1757132_stiswfc_004.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.87,   1.86,   1.69,   1.98
2MASSJ18022716+6043356,2158745262705810304, 11.9958010, 12.0237026, 11.9498949,  0.0738077,NOT_AVAILABLE,      0,true, 41, 41,1802271_stiswfcnic_004.fits.csv,OK,  1,   1.01,   0.04,   0.04,   2.40,   2.46,   2.90,   2.09
1805292,2161093682102883712, 12.2869501, 12.3421392, 12.1827669,  0.1593723,NOT_AVAILABLE,      0,true, 42, 39,1805292_stisnic_006.fits.csv,OK,  1,   1.01,   0.03,   0.04,   2.32,   2.43,   2.58,   2.32
2MASSJ18083474+6927286,2260019315938461952, 12.0400524, 12.1321859, 11.8638315,  0.2683544,NOT_AVAILABLE,      0,true, 39, 39,1808347_stiswfc_004.fits.csv,OK,  0,   1.02,   0.03,   0.03,   2.56,   2.05,   2.14,   1.99
1812095,2160839724980689408, 11.7166319, 11.8057041, 11.5481720,  0.2575321,NOT_AVAILABLE,      0,true, 37, 37,1812095_stisnic_006.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.94,   1.96,   2.20,   1.76
2MASSJ00361617+1821104,2794735086363871360, 17.4956360, 20.4429092, 15.9090519,  4.5338573,NOT_AVAILABLE,      0,true, 38, 47,2m003618_stiswfcnic_006.fits.csv,OK,  0,   1.06,   0.10,   0.10,   1.85,   1.84,   1.47,   2.06
2MASSJ05591914-1404488,2997171394834174976, 20.1297836, 21.4364014, 18.3486538,  3.0877476,NOT_AVAILABLE,      0,true, 18, 32,2m055914_stiswfcnic_005.fits.csv,OK,  0,   0.57,   0.31,   0.61,   1.12,   2.49,   0.73,   3.21
AGK+81_266,1144974578159253632, 11.8603268, 11.6857967, 12.2243700, -0.5385733,NOT_AVAILABLE,      0,true, 45, 43,agk_81d266_stisnic_007.fits.csv,OK,  1,   1.01,   0.02,   0.02,   1.66,   1.67,   1.70,   1.65
BD+02_3375,4376174445988280576,  9.7901487, 10.0581980,  9.3427477,  0.7154503,NOT_AVAILABLE,      0,true, 36, 39,bd02d3375_stis_006.fits.csv,ChP,  0,   1.00,   0.02,   0.02,   2.14,   2.18,   2.77,   1.64
BD-11_3759,6324325225803432320,  9.8949823, 11.5694294,  8.6461792,  2.9232502,NOT_AVAILABLE,      0,true, 20, 20,bd11d3759_stis_003.fits.csv,VAR,  0,   1.01,   0.04,   0.04,   4.11,   3.99,   5.42,   2.55
BD+21_0607,52624073910834176,  9.0934954,  9.3338442,  8.6768522,  0.6569920,NOT_AVAILABLE,      0,true, 50, 51,bd21d0607_stis_006.fits.csv,ChP,  0,   1.00,   0.01,   0.02,   2.24,   2.43,   3.19,   1.70
BD+26_2606,1267333012397454592,  9.5770473,  9.8244219,  9.1575661,  0.6668558,NOT_AVAILABLE,      0,true, 65, 63,bd26d2606_stis_006.fits.csv,BIN,  0,   1.00,   0.01,   0.01,   1.98,   2.04,   2.28,   1.83
BD+29_2091,731253779217024640, 10.1017380, 10.3872423,  9.6383467,  0.7488956,NOT_AVAILABLE,      0,true, 24, 24,bd29d2091_stis_006.fits.csv,OK,  1,   1.00,   0.01,   0.01,   1.64,   1.67,   2.06,   1.33
BD+54_1216,1032197606073957888,  9.5690498,  9.8213778,  9.1424742,  0.6789036,NOT_AVAILABLE,      0,true, 30, 31,bd54d1216_stis_005.fits.csv,OK,  1,   1.00,   0.01,   0.02,   1.66,   1.67,   2.07,   1.32
