SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj,flaggap
HD_100030,788862832304862720,  6.1679540,  6.6174016,  5.5435419,  1.0738597,NOT_AVAILABLE,      1,True, 75, 70,100030.fits.csv,OK,  0,     1.21,     0.05,     0.04,     4.86,     4.58,     1.05,     1.06 , 0
HD_100446,1056358927417808384,  7.1676087,  7.4282393,  6.7342453,  0.6939940,NOT_AVAILABLE,      0,True, 43, 38,100446.fits.csv,OK,  0,  5831.24,     0.65,  2226.07,   129.49,    36.79,    48.24,    21.19 , 1
HD_100696,1061520550394795392,  4.9201798,  5.4173503,  4.2645302,  1.1528201,NOT_AVAILABLE,      0,True, 36, 33,100696.fits.csv,OK,  0,     1.12,     0.04,     0.03,     4.85,     4.79,     0.60,     0.90 , 0
HD_101501,4025850731201819392,  5.1109953,  5.4871893,  4.5811539,  0.9060354,NOT_AVAILABLE,      0,True, 24, 21,101501.fits.csv,OK,  1,     1.01,     0.07,     0.05,     5.68,     4.75,     1.01,     1.56 , 0
HD_101673,1057043579564448000,  4.9314823,  5.5745907,  4.1678910,  1.4066997,NOT_AVAILABLE,      0,True, 32, 27,101673.fits.csv,OK,  0,     1.21,     0.05,     0.05,     6.27,     6.23,     0.74,     0.89 , 0
HD_102224,786420645182229504,  3.3287191,  4.0535631,  2.6313531,  1.4222100,NOT_AVAILABLE,      0,True, 52, 51,102224.fits.csv,SAT,  0,     1.26,     0.17,     0.14,     7.83,     5.24,     3.50,     1.86 , 0
HD_102328,841920040781646080,  4.8879147,  5.5138798,  4.1364779,  1.3774018,NOT_AVAILABLE,      0,True, 55, 51,102328.fits.csv,OK,  1,     1.03,     0.04,     0.04,     6.57,     6.55,     0.62,     0.69 , 0
HD_102574,3587572064793827328,  6.1084032,  6.3924479,  5.6575160,  0.7349319,NOT_AVAILABLE,      0,True, 50, 44,102574.fits.csv,OK,  0,   956.71,     0.34,     0.34,    95.36,    95.29,   132.85,    47.83 , 1
HD_10307,348515297330773120,  4.8004379,  5.1120868,  4.3069367,  0.8051500,NOT_AVAILABLE,      0,True, 28, 27,10307.fits.csv,BIN,  0,     0.96,     0.07,     0.05,     3.65,     2.70,     1.22,     1.43 , 0
HD_10362,511260782234988672,  6.2950969,  6.3027897,  6.2259965,  0.0767932,NOT_AVAILABLE,      0,True, 77, 71,10362.fits.csv,OK,  0,    52.48,     0.11,     0.21,    21.37,    16.98,    15.86,    17.99 , 0
HD_104304,3575733210781078016,  5.3550773,  5.7311568,  4.8056283,  0.9255285,NOT_AVAILABLE,      0,True, 46, 39,104304.fits.csv,OK,  0,     0.87,     0.12,     0.08,    10.71,     9.91,    12.34,     1.47 , 0
HD_104783,4033634311453832192,  8.9280968,  9.3607025,  8.3220968,  1.0386057,NOT_AVAILABLE,      0,True, 29, 27,104783.fits.csv,OK,  0,   844.79,     0.16,     0.14,    42.51,    42.48,     1.22,    46.06 , 1
HD_10486,350423224882432128,  6.0885243,  6.5773802,  5.4380336,  1.1393466,NOT_AVAILABLE,      0,True, 23, 19,10486.fits.csv,OK,  0,  2176.57,     0.38,     0.30,    60.33,    60.21,     2.48,    84.95 , 1
HD_104985,1693159194226600192,  5.5010715,  6.0241361,  4.8168998,  1.2072363,NOT_AVAILABLE,      0,True, 27, 24,104985.fits.csv,OK,  0,     1.11,     0.08,     0.06,     5.29,     4.51,     1.50,     0.73 , 0
HD_105043,1582943083506555776,  5.7750835,  6.3873687,  5.0170927,  1.3702760,NOT_AVAILABLE,      0,True, 37, 34,105043.fits.csv,OK,  1,     1.09,     0.08,     0.04,     6.62,     6.23,     0.99,     0.61 , 0
HD_105546,1575933490721033728,  8.4095621,  8.7863426,  7.8455944,  0.9407482,NOT_AVAILABLE,      0,True, 54, 51,105546.fits.csv,OK,  0,  2246.29,     0.22,     0.23,    87.54,    87.52,     4.29,   114.10 , 1
HD_105755,1573133034605389568,  8.4432039,  8.7368364,  7.9719992,  0.7648373,NOT_AVAILABLE,      0,True, 63, 60,105755.fits.csv,OK,  0,  1816.80,     0.18,     0.18,    84.45,    84.45,     1.12,   111.74 , 1
HD_105944,1539246258035428736,  9.6912117, 10.1329393,  9.0782375,  1.0547018,NOT_AVAILABLE,      0,True, 40, 40,105944.fits.csv,OK,  0,  2190.99,     0.27,     0.23,   118.06,   118.00,     1.50,   154.05 , 1
HD_106516,3581001280225616128,  6.0030136,  6.2106419,  5.5691791,  0.6414628,NOT_AVAILABLE,      0,True, 27, 29,106516.fits.csv,BIN,  0,    99.99,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00 , 9
HD_106591,1575287046603605888,  3.3111024,  3.4510305,  3.1895428,  0.2614877,NOT_AVAILABLE,      1,True, 39, 38,106591.fits.csv,SAT,  0,     1.00,     0.07,     0.07,     5.56,     5.41,     4.52,     2.24 , 0
HD_10700,2452378776434477184,  3.3003998,  3.7995205,  2.7482994,  1.0512211,NOT_AVAILABLE,      0,True, 54, 53,10700.fits.csv,SAT,  0,  2058.46,     0.30,     0.27,    45.31,    45.21,     4.65,    58.25 , 1
