SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
1,266077145295627520, 11.7184420, 11.5464220, 12.0706959, -0.5242739,NOT_AVAILABLE,      0,True, 39, 39,V.3.4.SPSS001.csv,OK,  1,   1.00,   0.01,   0.01,   1.43,   1.41,   1.67,   1.20
2,3348071631670500736, 12.9997692, 12.8530951, 13.3054075, -0.4523125,NOT_AVAILABLE,      0,True, 26, 26,V.3.4.SPSS002.csv,OK,  1,   1.00,   0.02,   0.02,   1.35,   1.37,   1.70,   1.07
3,3944400490365194368, 13.3109264, 13.1507225, 13.6322451, -0.4815226,NOT_AVAILABLE,      0,True, 51, 50,V.3.4.SPSS003.csv,OK,  1,   1.00,   0.02,   0.02,   1.55,   1.55,   2.00,   1.14
5,4646535078125821568, 11.4095831, 11.3572569, 11.5322142, -0.1749573,NOT_AVAILABLE,      0,True, 38, 37,V.3.4.SPSS005.csv,OK,  1,   1.00,   0.03,   0.03,   1.79,   1.77,   1.92,   1.67
6,3251244858154433536, 14.0225105, 13.8572149, 14.3397341, -0.4825191,NOT_AVAILABLE,      0,True, 41, 39,V.3.4.SPSS006.csv,OK,  1,   1.01,   0.02,   0.02,   1.17,   1.18,   1.29,   1.10
7,3304090857318319232, 13.8869152, 13.7993555, 14.0805979, -0.2812424,VARIABLE,      0,True, 32, 33,V.3.4.SPSS007.csv,OK,  0,   1.00,   0.03,   0.03,   1.55,   1.55,   1.89,   1.26
8,5639391810273308416, 11.8223953, 11.9007273, 11.6703167,  0.2304106,NOT_AVAILABLE,      0,True, 58, 57,V.3.4.SPSS008.csv,OK,  1,   1.01,   0.03,   0.03,   2.88,   2.54,   2.82,   2.33
9,2910503176753011840, 12.0796995, 12.3100853, 11.6896477,  0.6204376,NOT_AVAILABLE,      0,True, 52, 51,V.3.4.SPSS009.csv,ChP,  0,   1.00,   0.01,   0.02,   2.28,   2.35,   2.75,   2.04
10,3772994667772794112, 13.5303144, 13.4164953, 13.7603683, -0.3438730,NOT_AVAILABLE,      0,True, 23, 23,V.3.4.SPSS010.csv,OK,  0,   0.98,   0.03,   0.03,   1.38,   1.57,   2.07,   1.08
11,781164326766404736, 11.1069555, 10.9302731, 11.4196196, -0.4893465,NOT_AVAILABLE,      0,True, 53, 52,V.3.4.SPSS011.csv,OK,  0,   1.01,   0.01,   0.01,   1.92,   1.88,   1.77,   1.96
12,5332606522595645952, 11.4231043, 11.5157652, 11.2300177,  0.2857475,NOT_AVAILABLE,      0,True, 44, 44,V.3.4.SPSS012.csv,OK,  0,   0.98,   0.01,   0.01,   2.53,   2.12,   2.42,   1.89
13,3959631234670040704, 10.4618702, 10.3044090, 10.7623663, -0.4579573,NOT_AVAILABLE,      0,True, 54, 54,V.3.4.SPSS013.csv,OK,  0,   1.02,   0.02,   0.02,   2.18,   1.44,   1.51,   1.39
15,1686708050268594944, 12.7722387, 12.6871138, 12.9656792, -0.2785654,VARIABLE,      0,True, 42, 41,V.3.4.SPSS015.csv,OK,  0,   1.00,   0.03,   0.03,   1.69,   1.76,   2.19,   1.38
16,6018034958869558912, 11.0003996, 10.8833628, 11.2319021, -0.3485394,NOT_AVAILABLE,      0,True, 31, 30,V.3.4.SPSS016.csv,OK,  1,   1.00,   0.03,   0.03,   1.52,   1.52,   1.67,   1.42
17,6749419923164242816, 12.2587872, 12.2149935, 12.3702631, -0.1552696,NOT_AVAILABLE,      0,True, 35, 35,V.3.4.SPSS017.csv,OK,  1,   1.01,   0.03,   0.03,   1.87,   1.72,   2.02,   1.49
19,2693940725141960192, 12.7767496, 12.7134771, 12.9301100, -0.2166328,NOT_AVAILABLE,      0,True, 25, 23,V.3.4.SPSS019.csv,OK,  1,   1.01,   0.04,   0.04,   1.77,   1.76,   2.30,   1.26
21,2398029465700538880, 11.8875513, 12.2257204, 11.3708792,  0.8548412,NOT_AVAILABLE,      0,True, 19, 19,V.3.4.SPSS021.csv,OK,  1,   1.00,   0.02,   0.02,   1.72,   1.73,   2.03,   1.49
