STELIB,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,fits
2527043140743265664,2527043140743265664,  9.9367247, 10.0378218,  9.7242565,  0.3135653,NOT_AVAILABLE,      0,true, 52, 52,  0,OK,HD002857_moy.fits
2577273298665142528,2577273298665142528,  5.2339602,  6.4207687,  4.1430950,  2.2776737,NOT_AVAILABLE,      0,true, 28, 25,  0,VAR/LPV,HD005820_moy.fits
5033960575837265920,5033960575837265920,  7.8200030,  8.3022308,  7.1542478,  1.1479831,NOT_AVAILABLE,      0,true, 69, 71,  0,ChP,HD006268_moy.fits
2565225915399877760,2565225915399877760,  4.3468328,  5.0948458,  3.5079517,  1.5868940,NOT_AVAILABLE,      0,true, 32, 30,  0,OK,HD009138_moy.fits
76911598572764800,76911598572764800,  5.0123358,  6.2638545,  3.8902304,  2.3736241,NOT_AVAILABLE,      0,true, 20, 20,  0,OK,HD012479_moy.fits
22745910577134848,22745910577134848,  4.2553577,  4.2396884,  4.2805800, -0.0408916,NOT_AVAILABLE,      0,true, 12, 12,  0,OK,HR718_moy.fits
35845938787261952,35845938787261952,  3.7192929,  5.9537654,  2.6102850,  3.3434803,VARIABLE,      0,false, 11, 11,  0,SAT/VAR,HD018191_moy.fits
3264098320880651008,3264098320880651008,  8.4418259,  8.9020748,  7.7973199,  1.1047549,NOT_AVAILABLE,      0,true, 22, 19,  0,ChP,HD021581_moy.fits
246265388874592768,246265388874592768,  3.8461115,  4.3592024,  3.1722233,  1.1869791,NOT_AVAILABLE,      0,false, 23, 25,  0,DMS/SAT,HD26630_moy.fits
3174810211405980032,3174810211405980032,  7.7976031,  8.5927992,  6.9176750,  1.6751242,NOT_AVAILABLE,      0,true, 62, 58,  0,VAR,HD029574_moy.fits
3289827339649866880,3289827339649866880,  4.3418336,  4.3401723,  4.2745948,  0.0655775,NOT_AVAILABLE,      0,true, 45, 40,  0,SAT,HR1544_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
4655363946042099200,4655363946042099200, 12.0932522, 12.1036291, 12.0331144,  0.0705147,NOT_AVAILABLE,      0,true, 36, 36,  0,BS,HD268749_moy.fits
482818271843093376,482818271843093376,  4.2128644,  4.2284613,  4.1490684,  0.0793929,NOT_AVAILABLE,      0,true, 50, 47,  0,SAT/BS,HD30614_moy.fits
4661730912968569984,4661730912968569984,  9.6222572,  9.6670237,  9.4836206,  0.1834030,NOT_AVAILABLE,      0,true, 65, 63,  0,BS,HD032034_moy.fits
4655136518933846784,4655136518933846784,  9.9442310, 10.1917486,  9.5386705,  0.6530781,NOT_AVAILABLE,      0,true, 40, 40,  0,ESG,HD268819_moy.fits
4662107598784242432,4662107598784242432, 12.5015087, 12.4818592, 12.4780197,  0.0038395,NOT_AVAILABLE,      0,true, 95, 92,  0,ELS,HD033133_moy.fits
4661472149794844288,4661472149794844288,  9.0946150,  9.1993313,  8.8614626,  0.3378687,NOT_AVAILABLE,      0,true, 41, 41,  0,ESG,HD033579_moy.fits
265722999474087424,265722999474087424,  4.8989830,  5.0604839,  4.5668669,  0.4936171,NOT_AVAILABLE,      0,true, 33, 31,  0,VAR,HD32537_moy.fits
3407611182744289152,3407611182744289152,  4.7324567,  5.0766611,  4.2325964,  0.8440647,NOT_AVAILABLE,      0,true, 26, 24,  0,DMS,HD32923_moy.fits
4660612881443486720,4660612881443486720, 11.7612391, 11.7299757, 11.7914333, -0.0614576,NOT_AVAILABLE,      0,true,111,110,  0,ESG,HD271163_moy.fits
188771135583573504,188771135583573504,  4.5258846,  4.8482485,  4.0574579,  0.7907906,NOT_AVAILABLE,      0,true, 47, 42,  0,OK,HD34411_moy.fits
2988329637719192960,2988329637719192960,  4.2184691,  4.1034460,  4.4746261, -0.3711801,NOT_AVAILABLE,      0,true, 50, 46,  0,SAT,HD034816_moy.fits
4660601611448785152,4660601611448785152,  9.4421253,  9.7827797,  8.9315529,  0.8512268,NOT_AVAILABLE,      0,true,101,108,  0,ESG,HD271182_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
4660366865739053696,4660366865739053696, 12.4613304, 12.5871305, 12.2218246,  0.3653059,NOT_AVAILABLE,      0,true,128,123,  0,OK,G319_moy.fits
4658430831899380736,4658430831899380736, 11.8591518, 11.8164711, 11.8711882, -0.0547171,NOT_AVAILABLE,      0,true, 35, 34,  0,ELS,HD269687_moy.fits
4660124762671796096,4660124762671796096, 10.2374601, 10.4530125,  9.8681498,  0.5848627,NOT_AVAILABLE,      0,true, 39, 39,  0,ESG,HD269697_moy.fits
4660121743354291328,4660121743354291328, 12.2103081, 12.1023407, 12.3981247, -0.2957840,NOT_AVAILABLE,      0,true, 37, 37,  0,BS,HD269698_moy.fits
