counter,NAME,source_id,RA,DEC,flagbest,flagSIMBAD,library,primary,sepa
0,Achernar,none,24.428523,-57.236753,0,none,UVES+MILES,0,42.040909447628025
7,Canopus,none,95.987958,-52.695661,0,none,UVES,0,4.828099632833481
11,HD001581,4900108950849461248,5.017744,-64.874794,0,OK,UVES,0,47.91912878517364
12,HD002151,4683897617110115200,6.437793,-77.254246,0,SAT,UVES,0,43.41002076605459
16,HD010361,4911306239828325760,24.948186,-56.196448,0,BIN,UVES,0,42.114930289468894
17,HD010647,4912580642524184960,25.622144,-53.740831,0,OK,UVES,0,42.62129727487203
18,HD010840,4712976435488313216,26.137377,-61.018706,0,VAR,UVES,0,40.141503767543256
20,HD011643,4961654629610389376,28.346553,-38.594632,0,OK,UVES,0,48.098692983420385
21,HD011695,4942522955488925696,28.411421,-46.302668,0,SAT,UVES,0,44.101585780795375
22,HD012311,4713424658275847168,29.692478,-61.56986,0,SAT,UVES,0,38.357376813742604
26,HD018242,4748477123328077696,43.469875,-49.889647,0,VAR,UVES,0,33.458400155130505
28,HD018466,5065109121778224768,44.303757,-29.855276,1,OK,UVES,0,42.67194873546225
29,HD018692,5073246882211822720,44.900761,-25.274133,0,OK,UVES,0,45.31744292449845
31,HD020010,5059348952161258624,48.018874,-28.987622,0,SAT,UVES,0,40.767493253162925
32,HD020234,4727337637895749888,48.138166,-57.321549,0,C,UVES,0,29.478885233947054
33,HD020807,4722135642226902656,49.553412,-62.506362,0,DMS,UVES,0,29.06862938298176
34,HD021423,4860808694421129600,51.482675,-35.920885,0,VAR,UVES,0,34.20967013384995
38,HD024616,5084391257193086336,58.497768,-23.137075,0,OK,UVES+XSL+NGSL+MILES,0,38.26248707258207
39,HD024712,5114586492192519168,58.817214,-12.099091,0,VAR,UVES,0,46.951034461382505
41,HD026612,4840555106121661952,62.710789,-41.99357,0,DMS,UVES,0,23.624035003500797
42,HD027256,4676528209144882304,63.606184,-62.473859,0,SAT,UVES,0,22.85092498285511
43,HD027290,4781833626056162688,64.006611,-51.486648,0,VAR,UVES,0,20.407251900436673
44,HD027411,4897544649215563008,64.656215,-22.969721,0,OK,UVES,0,34.851238703843244
45,HD029138,4615219578218188928,63.444685,-84.485793,0,OK,UVES,0,37.522176663784904
