UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
HD000142,4976894960284258048,  5.5867019,  5.8390980,  5.1695895,  0.6695085,NOT_AVAILABLE,      1,true, 80, 71,HD000142.fits.csv,CRO,  0,   1.00,   0.03,   0.03,   5.14,   4.97,   5.06,   4.94
HD000739,2309813109479463040,  5.1205902,  5.3561015,  4.7467022,  0.6093993,NOT_AVAILABLE,      0,true, 30, 25,HD000739.fits.csv,OK,  0,   1.01,   0.03,   0.02,   3.24,   2.85,   3.06,   2.71
HD001581,4900108950849461248,  4.0735102,  4.3694768,  3.6002007,  0.7692761,NOT_AVAILABLE,      0,true, 34, 33,HD001581.fits.csv,OK,  0,   0.99,   0.05,   0.05,   5.28,   5.50,   7.71,   3.06
HD002151,4683897617110115200,  2.6807318,  3.2956264,  2.3714890,  0.9241374,NOT_AVAILABLE,      0,true, 19, 19,HD002151.fits.csv,SAT,  0,   0.83,   0.25,   0.15,  14.43,   5.11,   6.58,   3.72
HD003158,4925088171405735680,  5.4478850,  5.6896901,  5.0534110,  0.6362791,NOT_AVAILABLE,      0,true, 45, 44,HD003158.fits.csv,OK,  0,   1.03,   0.03,   0.02,   4.78,   3.32,   3.71,   3.01
HD007312,4988805179472314368,  5.8937402,  6.0265598,  5.6365094,  0.3900504,NOT_AVAILABLE,      0,true, 50, 42,HD007312.fits.csv,VAR,  0,   1.04,   0.04,   0.03,   5.88,   4.69,   3.73,   5.31
HD007570,4934923028038871296,  4.8279195,  5.1077824,  4.3799143,  0.7278681,NOT_AVAILABLE,      0,true, 69, 63,HD007570.fits.csv,OK,  0,   1.06,   0.04,   0.04,   6.21,   5.73,   6.70,   3.90
HD010361,4911306239828325760,  5.6254873,  6.0899978,  4.9957995,  1.0941982,NOT_AVAILABLE,      0,true, 40, 39,HD010361.fits.csv,BIN,  0,   0.99,   0.03,   0.03,   4.83,   4.58,   6.58,   2.24
HD010647,4912580642524184960,  5.3831091,  5.6573124,  4.9468093,  0.7105031,NOT_AVAILABLE,      0,true, 46, 42,HD010647.fits.csv,OK,  0,   0.98,   0.04,   0.04,   3.87,   3.87,   4.18,   3.66
HD010840,4712976435488313216,  6.7669010,  6.7260513,  6.8082199, -0.0821686,VARIABLE,      0,true, 41, 41,HD010840.fits.csv,VAR,  0,   1.04,   0.04,   0.04,   2.69,   2.66,   3.58,   1.73
HD011171,2461043306017773696,  4.5682287,  4.7434058,  4.2835884,  0.4598174,NOT_AVAILABLE,      0,true, 34, 28,HD011171.fits.csv,OK,  0,   1.03,   0.04,   0.03,   5.32,   4.18,   4.30,   4.11
HD011643,4961654629610389376,  5.7876740,  6.3404908,  5.0844045,  1.2560863,NOT_AVAILABLE,      0,true, 71, 67,HD011643.fits.csv,OK,  0,   0.99,   0.03,   0.03,   8.06,   8.08,   9.88,   6.43
HD012642,2492286341237939328,  4.9186435,  5.8807068,  3.9409704,  1.9397364,NOT_AVAILABLE,      0,true, 21, 21,HD012642.fits.csv,OK,  0,   1.00, -20.00, -20.00,   2.61,   2.61,   2.61,   2.61
HD014802,5119953517683718400,  5.0178437,  5.3485856,  4.5391221,  0.8094635,NOT_AVAILABLE,      0,true, 32, 28,HD014802.fits.csv,OK,  0,   1.03,   0.04,   0.03,   4.72,   3.49,   4.82,   2.01
