wave,flux,fluxerr
320.00000,9.2397779e-13,1.4679167e-14
320.01000,9.2237506e-13,1.4609820e-14
320.02000,9.2302154e-13,1.4569477e-14
320.03000,9.2511269e-13,1.4556266e-14
320.04000,9.2537352e-13,1.4586724e-14
320.05000,9.2527236e-13,1.4666927e-14
320.06000,9.2693040e-13,1.4759154e-14
320.07000,9.2740542e-13,1.4790713e-14
320.08000,9.2592291e-13,1.4774393e-14
320.09000,9.2686043e-13,1.4773141e-14
320.10000,9.3094132e-13,1.4794721e-14
320.11000,9.3461251e-13,1.4820975e-14
320.12000,9.3510673e-13,1.4827378e-14
320.13000,9.3050452e-13,1.4775341e-14
320.14000,9.2661087e-13,1.4708987e-14
320.15000,9.2804352e-13,1.4681698e-14
320.16000,9.2911737e-13,1.4666786e-14
320.17000,9.2687354e-13,1.4651939e-14
320.18000,9.2472127e-13,1.4656031e-14
320.19000,9.2164555e-13,1.4651472e-14
320.20000,9.1726986e-13,1.4616010e-14
320.21000,9.1780754e-13,1.4586349e-14
320.22000,9.2276299e-13,1.4562545e-14
320.23000,9.2433686e-13,1.4523131e-14
320.24000,9.2414418e-13,1.4512671e-14
320.25000,9.2848987e-13,1.4569468e-14
320.26000,9.3197819e-13,1.4607620e-14
320.27000,9.3123086e-13,1.4575172e-14
320.28000,9.2936701e-13,1.4522777e-14
320.29000,9.2692460e-13,1.4473319e-14
320.30000,9.2620395e-13,1.4445648e-14
320.31000,9.2809668e-13,1.4434588e-14
320.32000,9.3002364e-13,1.4436904e-14
320.33000,9.2970031e-13,1.4430130e-14
320.34000,9.2893068e-13,1.4409159e-14
320.35000,9.3210974e-13,1.4409870e-14
320.36000,9.3781535e-13,1.4433970e-14
320.37000,9.3833278e-13,1.4450814e-14
320.38000,9.3345305e-13,1.4431980e-14
320.39000,9.3056194e-13,1.4401721e-14
320.40000,9.2920115e-13,1.4381116e-14
320.41000,9.2936018e-13,1.4390663e-14
320.42000,9.3076682e-13,1.4394321e-14
320.43000,9.3073047e-13,1.4368872e-14
320.44000,9.3263178e-13,1.4388637e-14
320.45000,9.3616790e-13,1.4417307e-14
320.46000,9.3728109e-13,1.4419727e-14
320.47000,9.3596015e-13,1.4433064e-14
320.48000,9.3325611e-13,1.4439613e-14
320.49000,9.3088907e-13,1.4422099e-14
320.50000,9.3162234e-13,1.4394992e-14
320.51000,9.3315885e-13,1.4377619e-14
320.52000,9.3402308e-13,1.4380962e-14
320.53000,9.3341797e-13,1.4389362e-14
320.54000,9.2842324e-13,1.4356997e-14
320.55000,9.1994918e-13,1.4289290e-14
320.56000,9.1586054e-13,1.4246995e-14
320.57000,9.1895019e-13,1.4253291e-14
320.58000,9.2246582e-13,1.4253584e-14
320.59000,9.2305991e-13,1.4274787e-14
320.60000,9.2318757e-13,1.4315981e-14
320.61000,9.2101590e-13,1.4320933e-14
320.62000,9.1745867e-13,1.4316547e-14
320.63000,9.1683279e-13,1.4298879e-14
320.64000,9.1859797e-13,1.4260919e-14
320.65000,9.1964916e-13,1.4257946e-14
320.66000,9.1713196e-13,1.4241594e-14
320.67000,9.1342863e-13,1.4203731e-14
320.68000,9.1283520e-13,1.4243620e-14
320.69000,9.1444831e-13,1.4309796e-14
320.70000,9.1505881e-13,1.4288509e-14
320.71000,9.1303292e-13,1.4210839e-14
320.72000,9.1101026e-13,1.4167057e-14
320.73000,9.1344697e-13,1.4196027e-14
320.74000,9.1687221e-13,1.4246420e-14
320.75000,9.1921590e-13,1.4246595e-14
320.76000,9.2152064e-13,1.4234373e-14
320.77000,9.2229069e-13,1.4230812e-14
320.78000,9.2092940e-13,1.4202467e-14
320.79000,9.1899121e-13,1.4190064e-14
320.80000,9.1595701e-13,1.4205733e-14
320.81000,9.1404167e-13,1.4238283e-14
320.82000,9.1407638e-13,1.4270703e-14
320.83000,9.1400440e-13,1.4250191e-14
320.84000,9.1255956e-13,1.4165788e-14
320.85000,9.1222961e-13,1.4072273e-14
320.86000,9.1535913e-13,1.4021336e-14
320.87000,9.1722217e-13,1.3993667e-14
320.88000,9.1912455e-13,1.3990917e-14
320.89000,9.2018073e-13,1.4002781e-14
320.90000,9.1564364e-13,1.3981003e-14
320.91000,9.0881073e-13,1.3953817e-14
320.92000,9.0516749e-13,1.3925728e-14
320.93000,9.0471985e-13,1.3845800e-14
320.94000,9.0599030e-13,1.3745711e-14
320.95000,9.0947394e-13,1.3714771e-14
320.96000,9.1275547e-13,1.3748030e-14
320.97000,9.1415726e-13,1.3773611e-14
320.98000,9.1426692e-13,1.3785808e-14
320.99000,9.1399166e-13,1.3827114e-14
321.00000,9.1148390e-13,1.3812617e-14
321.01000,9.0711038e-13,1.3705811e-14
321.02000,9.0704244e-13,1.3655536e-14
321.03000,9.0973448e-13,1.3694343e-14
321.04000,9.1150920e-13,1.3755373e-14
321.05000,9.1226551e-13,1.3743287e-14
321.06000,9.1129350e-13,1.3674904e-14
321.07000,9.0927608e-13,1.3653729e-14
321.08000,9.0704015e-13,1.3662141e-14
321.09000,9.0447900e-13,1.3634780e-14
321.10000,9.0303490e-13,1.3618511e-14
321.11000,9.0413729e-13,1.3631251e-14
321.12000,9.0663917e-13,1.3604748e-14
321.13000,9.0841819e-13,1.3557934e-14
321.14000,9.0831952e-13,1.3525277e-14
321.15000,9.0607369e-13,1.3490590e-14
321.16000,9.0336606e-13,1.3479975e-14
321.17000,9.0298103e-13,1.3489546e-14
321.18000,9.0314951e-13,1.3517335e-14
321.19000,9.0244268e-13,1.3543832e-14
321.20000,9.0305200e-13,1.3563999e-14
321.21000,9.0391646e-13,1.3561248e-14
321.22000,9.0472900e-13,1.3545030e-14
321.23000,9.0660908e-13,1.3535822e-14
321.24000,9.0913917e-13,1.3535187e-14
321.25000,9.0869446e-13,1.3531181e-14
321.26000,9.0488197e-13,1.3507985e-14
321.27000,9.0324292e-13,1.3482507e-14
321.28000,9.0534677e-13,1.3475080e-14
321.29000,9.0701459e-13,1.3477094e-14
321.30000,9.1066962e-13,1.3512929e-14
321.31000,9.1671303e-13,1.3558961e-14
321.32000,9.1878274e-13,1.3556088e-14
321.33000,9.1592622e-13,1.3529650e-14
321.34000,9.1344439e-13,1.3525675e-14
321.35000,9.1334168e-13,1.3527503e-14
321.36000,9.1366048e-13,1.3483704e-14
321.37000,9.1370577e-13,1.3408263e-14
321.38000,9.1450104e-13,1.3360048e-14
321.39000,9.1670981e-13,1.3350220e-14
321.40000,9.1673357e-13,1.3345382e-14
321.41000,9.1409425e-13,1.3340282e-14
321.42000,9.1287588e-13,1.3342292e-14
321.43000,9.1324963e-13,1.3337495e-14
321.44000,9.1500101e-13,1.3335912e-14
321.45000,9.1726532e-13,1.3340727e-14
321.46000,9.1778228e-13,1.3325283e-14
321.47000,9.1809823e-13,1.3280509e-14
321.48000,9.1879972e-13,1.3238026e-14
321.49000,9.1795513e-13,1.3224632e-14
321.50000,9.1468009e-13,1.3202700e-14
321.51000,9.1076119e-13,1.3162083e-14
321.52000,9.1033182e-13,1.3138730e-14
321.53000,9.1242509e-13,1.3121920e-14
321.54000,9.1420199e-13,1.3078417e-14
321.55000,9.1669002e-13,1.3048086e-14
321.56000,9.1929623e-13,1.3063253e-14
321.57000,9.2328586e-13,1.3104252e-14
321.58000,9.2614004e-13,1.3136688e-14
321.59000,9.2527844e-13,1.3161371e-14
321.60000,9.2573242e-13,1.3215474e-14
321.61000,9.2604933e-13,1.3246966e-14
321.62000,9.2399863e-13,1.3227584e-14
321.63000,9.2578905e-13,1.3227033e-14
321.64000,9.2973393e-13,1.3236459e-14
321.65000,9.2709414e-13,1.3203689e-14
321.66000,9.2216422e-13,1.3189182e-14
321.67000,9.2352490e-13,1.3240856e-14
321.68000,9.2927259e-13,1.3295365e-14
321.69000,9.3550102e-13,1.3330975e-14
321.70000,9.3765228e-13,1.3348601e-14
321.71000,9.3675560e-13,1.3362323e-14
321.72000,9.3576601e-13,1.3396103e-14
321.73000,9.3627837e-13,1.3444245e-14
321.74000,9.3871025e-13,1.3482254e-14
321.75000,9.4098154e-13,1.3511564e-14
321.76000,9.4125209e-13,1.3533388e-14
321.77000,9.4077695e-13,1.3551235e-14
321.78000,9.4276589e-13,1.3614020e-14
321.79000,9.4673777e-13,1.3723379e-14
321.80000,9.4842228e-13,1.3737914e-14
321.81000,9.4637983e-13,1.3680532e-14
321.82000,9.4414952e-13,1.3681546e-14
321.83000,9.4613256e-13,1.3743259e-14
321.84000,9.5089385e-13,1.3812901e-14
321.85000,9.5269354e-13,1.3822599e-14
321.86000,9.4945527e-13,1.3760277e-14
321.87000,9.4223491e-13,1.3685418e-14
321.88000,9.3674181e-13,1.3683669e-14
321.89000,9.3625257e-13,1.3755072e-14
321.90000,9.3867284e-13,1.3833956e-14
321.91000,9.3940752e-13,1.3866195e-14
321.92000,9.3901638e-13,1.3871846e-14
321.93000,9.3749602e-13,1.3867261e-14
321.94000,9.3137764e-13,1.3808242e-14
321.95000,9.2505718e-13,1.3789523e-14
321.96000,9.2312204e-13,1.3756928e-14
321.97000,9.2491044e-13,1.3736322e-14
321.98000,9.2619037e-13,1.3793607e-14
321.99000,9.2573721e-13,1.3758703e-14
322.00000,9.2458578e-13,1.3627154e-14
322.01000,9.2026615e-13,1.3590675e-14
322.02000,9.1721696e-13,1.3681686e-14
322.03000,9.1599268e-13,1.3700148e-14
322.04000,9.1473925e-13,1.3562936e-14
322.05000,9.1462714e-13,1.3401478e-14
322.06000,9.1557765e-13,1.3290068e-14
322.07000,9.1737896e-13,1.3245593e-14
322.08000,9.2034381e-13,1.3273171e-14
322.09000,9.2321506e-13,1.3317299e-14
322.10000,9.2393532e-13,1.3302218e-14
322.11000,9.2465049e-13,1.3249574e-14
322.12000,9.2465257e-13,1.3182474e-14
322.13000,9.2343855e-13,1.3137836e-14
322.14000,9.2174076e-13,1.3151780e-14
322.15000,9.1893590e-13,1.3219329e-14
322.16000,9.1600103e-13,1.3309770e-14
322.17000,9.1587448e-13,1.3327578e-14
322.18000,9.1850491e-13,1.3244788e-14
322.19000,9.2010330e-13,1.3196851e-14
322.20000,9.1739202e-13,1.3254270e-14
322.21000,9.1392615e-13,1.3304616e-14
322.22000,9.1580374e-13,1.3274937e-14
322.23000,9.2141775e-13,1.3289473e-14
322.24000,9.2465155e-13,1.3325563e-14
322.25000,9.2399666e-13,1.3293733e-14
322.26000,9.2022395e-13,1.3268913e-14
322.27000,9.1511257e-13,1.3251532e-14
322.28000,9.1342148e-13,1.3267730e-14
322.29000,9.1503522e-13,1.3305179e-14
322.30000,9.1513883e-13,1.3314402e-14
322.31000,9.1262899e-13,1.3279705e-14
322.32000,9.1285512e-13,1.3231681e-14
322.33000,9.1722237e-13,1.3227048e-14
322.34000,9.1910467e-13,1.3252410e-14
322.35000,9.1785305e-13,1.3278562e-14
322.36000,9.1759720e-13,1.3295980e-14
322.37000,9.2000397e-13,1.3331182e-14
322.38000,9.2284427e-13,1.3377154e-14
322.39000,9.2391504e-13,1.3387900e-14
322.40000,9.2343049e-13,1.3359541e-14
322.41000,9.2136891e-13,1.3344665e-14
322.42000,9.1953229e-13,1.3395837e-14
322.43000,9.2035730e-13,1.3472997e-14
322.44000,9.2583096e-13,1.3539418e-14
322.45000,9.3351724e-13,1.3592755e-14
322.46000,9.3822476e-13,1.3608918e-14
322.47000,9.3803745e-13,1.3597740e-14
322.48000,9.3639542e-13,1.3588237e-14
322.49000,9.3227058e-13,1.3568051e-14
322.50000,9.2620206e-13,1.3568234e-14
322.51000,9.2459880e-13,1.3615362e-14
322.52000,9.2686203e-13,1.3624116e-14
322.53000,9.2869869e-13,1.3572368e-14
322.54000,9.2844082e-13,1.3525669e-14
322.55000,9.2649293e-13,1.3503823e-14
322.56000,9.2305422e-13,1.3490039e-14
322.57000,9.1827178e-13,1.3465993e-14
322.58000,9.1307396e-13,1.3427354e-14
322.59000,9.0978413e-13,1.3414537e-14
322.60000,9.0784622e-13,1.3423269e-14
322.61000,9.0496103e-13,1.3401553e-14
322.62000,9.0305032e-13,1.3371926e-14
322.63000,9.0226791e-13,1.3388667e-14
322.64000,9.0018283e-13,1.3429964e-14
322.65000,8.9766982e-13,1.3425744e-14
322.66000,8.9632678e-13,1.3387917e-14
322.67000,8.9659240e-13,1.3372593e-14
322.68000,8.9779276e-13,1.3373210e-14
322.69000,8.9861254e-13,1.3366840e-14
322.70000,8.9919999e-13,1.3345143e-14
322.71000,9.0366062e-13,1.3337516e-14
322.72000,9.0892563e-13,1.3353243e-14
322.73000,9.0767756e-13,1.3367035e-14
322.74000,9.0198241e-13,1.3371519e-14
322.75000,8.9995610e-13,1.3383216e-14
322.76000,9.0239825e-13,1.3405496e-14
322.77000,9.0516874e-13,1.3428382e-14
322.78000,9.0625110e-13,1.3432413e-14
322.79000,9.0529055e-13,1.3404504e-14
322.80000,9.0228306e-13,1.3346067e-14
322.81000,9.0138100e-13,1.3301238e-14
322.82000,9.0491610e-13,1.3308964e-14
